name,playcount,listeners,mbid,url,streamable
Coldplay,387822205,5743102,cc197bad-dc9c-440d-a5b5-d52ba2e14234,https://www.last.fm/music/Coldplay,0
Radiohead,550972459,5035108,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,0
Rihanna,229427755,4972534,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,https://www.last.fm/music/Rihanna,0
Eminem,235796821,4891405,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,https://www.last.fm/music/Eminem,0
Red Hot Chili Peppers,317717583,4886565,8bfac288-ccc5-448d-9573-c33ea2aa5c30,https://www.last.fm/music/Red+Hot+Chili+Peppers,0
Kanye West,338134378,4813672,164f0d73-1234-4e2c-8743-d77bf2191051,https://www.last.fm/music/Kanye+West,0
The Killers,228692072,4715204,95e1ead9-4d31-4808-a7ac-32c3614c116b,https://www.last.fm/music/The+Killers,0
Nirvana,246583871,4578808,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,https://www.last.fm/music/Nirvana,0
Queen,220580898,4389812,420ca290-76c5-41af-999e-564d7c71f1a7,https://www.last.fm/music/Queen,0
Muse,365725260,4291218,fd857293-5ab8-40de-b29e-55a69d4e4d0f,https://www.last.fm/music/Muse,0
Lady Gaga,370173696,4254561,650e7db6-b795-4eb5-a702-5ea2fc46c848,https://www.last.fm/music/Lady+Gaga,0
Linkin Park,321817275,4244461,f59c5520-5f46-4d2c-b2c4-822eabf53419,https://www.last.fm/music/Linkin+Park,0
Foo Fighters,208748416,4203358,67f66c07-6e61-4026-ade5-7e782fad3a5d,https://www.last.fm/music/Foo+Fighters,0
Katy Perry,188159193,4118706,122d63fc-8671-43e4-9752-34e846d62a9c,https://www.last.fm/music/Katy+Perry,0
The Rolling Stones,170598156,4055911,b071f9fa-14b0-4217-8e97-eb41da73f598,https://www.last.fm/music/The+Rolling+Stones,0
Daft Punk,226614863,4055003,056e4f3e-d505-4dad-8ec1-d04f521cbb56,https://www.last.fm/music/Daft+Punk,0
Green Day,207930679,4032367,084308bd-1654-436f-ba03-df6697104e19,https://www.last.fm/music/Green+Day,0
The Beatles,574171548,4021292,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles,0
Beyoncé,194719498,3928752,859d0860-d480-4efd-970c-c05d5f1776b8,https://www.last.fm/music/Beyonc%C3%A9,0
Gorillaz,200445225,3910845,e21857d5-3256-4547-afb3-4b6ded592596,https://www.last.fm/music/Gorillaz,0
Michael Jackson,145724488,3863134,f27ec8db-af05-4f36-916e-3d57f91ecf5e,https://www.last.fm/music/Michael+Jackson,0
Arctic Monkeys,377201823,3856709,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,0
Maroon 5,131062016,3847252,0ab49580-c84f-44d4-875f-d83760ea2cfe,https://www.last.fm/music/Maroon+5,0
Oasis,164146705,3822797,ecf9f3a3-35e9-4c58-acaa-e707fba45060,https://www.last.fm/music/Oasis,0
Drake,195428716,3797298,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,0
System of a Down,243918109,3685430,cc0b7089-c08d-4c10-b6b0-873582c17fd6,https://www.last.fm/music/System+of+a+Down,0
U2,152612499,3671058,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,https://www.last.fm/music/U2,0
Black Eyed Peas,78994520,3669352,d5be5333-4171-427e-8e12-732087c6b78e,https://www.last.fm/music/Black+Eyed+Peas,0
David Bowie,220159247,3635539,5441c29d-3602-4898-b1a1-b77fa23b8e50,https://www.last.fm/music/David+Bowie,0
Kings of Leon,177159710,3612400,6ffb8ea9-2370-44d8-b678-e9237bbd347b,https://www.last.fm/music/Kings+of+Leon,0
